station_no,station_id,station_name,ts_id,ts_name,ts_shortname,stationparameter_name,stationparameter_longname,ts_unitname,ts_unitsymbol,ts_unitname_abs,ts_unitsymbol_abs,parametertype_id,parametertype_name,ts_type_name,ts_type_id,station_latitude,station_longitude,station_carteasting,station_cartnorthing,station_local_x,station_local_y,station_georefsystem,ts_density,ts_exchange,station_longname,stationparameter_no,ts_utcoffset,ts_path,site_id,site_no,site_name,catchment_id,catchment_no,catchment_name,ts_spacing,stationparameter_id,ts_clientvalue1,ts_clientvalue2,ts_clientvalue3,ts_clientvalue4,ts_clientvalue5,ts_clientvalue6,ts_clientvalue7,ts_clientvalue8,ts_clientvalue9, ts_clientvalue10
115215 ,39151,Dallachy,62584010,HydrologicalYear.Min,HYear.Min,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmin.1,12010,57.66317443,-3.067640476,336400.000769736,864200.000206109,-341488.175725155,7896891.35994276, Web  Mercator ,1,,,GWL,0,1/115215/GWL/HYear.Min,162620,1,Stations,0,,---,P1Y,39152,,,,,,,,6da1126c-f9dc-40e3-b5f7-790d776b3a3c,, 
133763 ,39477, Racks  Moss  Deep ,62642010,Day.Max,CDay.Max,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmax.1,13010,55.03991121,-3.520429847,302936.000749268,572768.000005012,-391892.457941482,7369615.92121027, Web  Mercator ,365,,,GWL,0,1/133763/GWL/CDay.Max,162620,1,Stations,0,,---,P1D,39478,,,,,,,,209cb7e5-8a04-465e-9b31-52339ddae262,, 
115215 ,39151,Dallachy,62582010,HydrologicalYear.Max,HYear.Max,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmax.1,13010,57.66317443,-3.067640476,336400.000769736,864200.000206109,-341488.175725155,7896891.35994276, Web  Mercator ,1,,,GWL,0,1/115215/GWL/HYear.Max,162620,1,Stations,0,,---,P1Y,39152,,,,,,,,18418555-5851-4e53-8510-af35b8f56a13,, 
133763 ,39477, Racks  Moss  Deep ,62643010,Day.Mean,CDay.Mean,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmean,14010,55.03991121,-3.520429847,302936.000749268,572768.000005012,-391892.457941482,7369615.92121027, Web  Mercator ,365,,,GWL,0,1/133763/GWL/CDay.Mean,162620,1,Stations,0,,---,P1D,39478,,,,,,,,318da9f2-cf4c-4b29-9210-bf85796c011b,, 
133763 ,39477, Racks  Moss  Deep ,62646010,HydrologicalYear.Max,HYear.Max,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmax.1,13010,55.03991121,-3.520429847,302936.000749268,572768.000005012,-391892.457941482,7369615.92121027, Web  Mercator ,1,,,GWL,0,1/133763/GWL/HYear.Max,162620,1,Stations,0,,---,P1Y,39478,,,,,,,,eab5cef3-4605-4040-903e-edd2bea95483,, 
133763 ,39477, Racks  Moss  Deep ,62650010,LongTermValue.Month.Mean,LTV.CMonth.Mean,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmean,14010,55.03991121,-3.520429847,302936.000749268,572768.000005012,-391892.457941482,7369615.92121027, Web  Mercator ,12,,,GWL,0,1/133763/GWL/LTV.CMonth.Mean,162620,1,Stations,0,,---,P1M,39478,,,,,,,,56bde3ee-7bc0-477a-a9c9-19c2259b1b90,, 
133763 ,39477, Racks  Moss  Deep ,62651010,LongTermValues.Month.Min,LTV.CMonth.Min,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmin.1,12010,55.03991121,-3.520429847,302936.000749268,572768.000005012,-391892.457941482,7369615.92121027, Web  Mercator ,12,,,GWL,0,1/133763/GWL/LTV.CMonth.Min,162620,1,Stations,0,,---,P1M,39478,,,,,,,,0f094945-4956-49bf-baf2-6c2497bac273,, 
133763 ,39477, Racks  Moss  Deep ,62654010,Month.Min,CMonth.Min,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmin.1,12010,55.03991121,-3.520429847,302936.000749268,572768.000005012,-391892.457941482,7369615.92121027, Web  Mercator ,12,,,GWL,0,1/133763/GWL/CMonth.Min,162620,1,Stations,0,,---,P1M,39478,,,,,,,,72ffd291-ab5c-4012-b4a0-aabe712212ad,, 
115215 ,39151,Dallachy,62575010,CalendarYear.Max,CYear.Max,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmax.1,13010,57.66317443,-3.067640476,336400.000769736,864200.000206109,-341488.175725155,7896891.35994276, Web  Mercator ,1,,,GWL,0,1/115215/GWL/CYear.Max,162620,1,Stations,0,,---,P1Y,39152,,,,,,,,909c1944-d4da-4eff-93b8-e5e0f71fc707,, 
115215 ,39151,Dallachy,62588010,Month.Max,CMonth.Max,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmax.1,13010,57.66317443,-3.067640476,336400.000769736,864200.000206109,-341488.175725155,7896891.35994276, Web  Mercator ,12,,,GWL,0,1/115215/GWL/CMonth.Max,162620,1,Stations,0,,---,P1M,39152,,,,,,,,7f6f8c31-3035-4eda-90aa-101fc26408c9,, 
115215 ,39151,Dallachy,62590010,Month.Min,CMonth.Min,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmin.1,12010,57.66317443,-3.067640476,336400.000769736,864200.000206109,-341488.175725155,7896891.35994276, Web  Mercator ,12,,,GWL,0,1/115215/GWL/CMonth.Min,162620,1,Stations,0,,---,P1M,39152,,,,,,,,b39d4c25-def7-4134-92f2-1ef25363f09e,, 
133763 ,39477, Racks  Moss  Deep ,62641010,CalendarYear.Min,CYear.Min,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmin.1,12010,55.03991121,-3.520429847,302936.000749268,572768.000005012,-391892.457941482,7369615.92121027, Web  Mercator ,1,,,GWL,0,1/133763/GWL/CYear.Min,162620,1,Stations,0,,---,P1Y,39478,,,,,,,,3db48fdd-71f2-4b2b-b2f7-e5ed83501997,, 
133763 ,39477, Racks  Moss  Deep ,62647010,HydrologicalYear.Mean,HYear.Mean,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmean,14010,55.03991121,-3.520429847,302936.000749268,572768.000005012,-391892.457941482,7369615.92121027, Web  Mercator ,1,,,GWL,0,1/133763/GWL/HYear.Mean,162620,1,Stations,0,,---,P1Y,39478,,,,,,,,0c72acfd-3f14-4ae3-b8af-587ba75dd9c7,, 
133763 ,39477, Racks  Moss  Deep ,62652010,Month.Max,CMonth.Max,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmax.1,13010,55.03991121,-3.520429847,302936.000749268,572768.000005012,-391892.457941482,7369615.92121027, Web  Mercator ,12,,,GWL,0,1/133763/GWL/CMonth.Max,162620,1,Stations,0,,---,P1M,39478,,,,,,,,a18cad24-b445-4b0c-93da-75c96ef850bb,, 
133763 ,39477, Racks  Moss  Deep ,62653010,Month.Mean,CMonth.Mean,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmean,14010,55.03991121,-3.520429847,302936.000749268,572768.000005012,-391892.457941482,7369615.92121027, Web  Mercator ,12,,,GWL,0,1/133763/GWL/CMonth.Mean,162620,1,Stations,0,,---,P1M,39478,,,,,,,,7f9bf48d-d8c0-4274-8861-f69c4babff9e,, 
115215 ,39151,Dallachy,62576010,CalendarYear.Mean,CYear.Mean,GroundwaterLevel, Groundwater  Level ,meter,m,,,536,GWLVL,aggmean,14010,57.66317443,-3.067640476,336400.000769736,864200.000206109,-341488.175725155,7896891.35994276, Web  Mercator ,1,,,GWL,0,1/115215/GWL/CYear.Mean,162620,1,Stations,0,,---,P1Y,39152,,,,,,,,6c925b57-2ee1-4132-88fc-b3e9c2165271,, 
